id,section,question,expected_answer,predicted_answer,expected_evidence,retrieved_evidence,confidence,retrieval_score,answer_match,evidence_match,no_answer_match,correct,token_f1
11,Confidentiality,For what purpose may confidential information be used?,Only for performing obligations under the Agreement.,Confidentiality: Confidential information may be used only for the purposes of performing obligations under this Agreement.,only for the purposes of performing obligations under this Agreement,Confidentiality: Confidential information may be used only for the purposes of performing obligations under this Agreement.,0.7258,12.9476,0,1,0,1,0.6087
12,Confidentiality,How long do confidentiality obligations remain effective?,Five years after expiration of the Agreement.,Confidentiality: The confidentiality obligations shall remain effective for five years after the expiration of this Agreement.,for five years after the expiration of this Agreement,Confidentiality: The confidentiality obligations shall remain effective for five years after the expiration of this Agreement.,0.7310,13.5314,0,1,0,1,0.6087
13,Termination,When may the Service Provider terminate the contract for non-payment?,If payment is overdue for more than 20 days.,Termination: The Service Provider may terminate the contract if payment is overdue for more than 20 days.,payment is overdue for more than 20 days,Termination: The Service Provider may terminate the contract if payment is overdue for more than 20 days.,0.7060,11.0115,1,1,0,1,0.6923
14,Payment,What monthly service fee must the Customer pay?,"500,000 KZT.","Payment: The Customer shall pay a monthly service fee of 500,000 KZT.","monthly service fee of 500,000 KZT","Payment: The Customer shall pay a monthly service fee of 500,000 KZT.",0.7342,13.9010,1,1,0,1,0.3750
15,Payment,When must invoices be submitted?,By the fifth day of each month.,Payment: All invoices must be submitted electronically by the fifth day of each month.,by the fifth day of each month,Payment: All invoices must be submitted electronically by the fifth day of each month.,0.6867,9.4685,1,1,0,1,0.6667
16,Assignment,Can the Service Provider subcontract duties freely?,"No, written approval from the Customer is required.",Only with required consent or approval. Assignment: The Service Provider may not subcontract its duties without written approval from the Customer.,may not subcontract its duties without written approval from the Customer,Assignment: The Service Provider may not subcontract its duties without written approval from the Customer.,0.7228,12.6280,0,1,0,1,0.4138
17,Liability,What is the liability cap?,The total fees paid during the previous six months.,Liability: The total liability of either party shall not exceed the total fees paid during the previous six months.,shall not exceed the total fees paid during the previous six months,Liability: The total liability of either party shall not exceed the total fees paid during the previous six months.,0.5469,3.3469,1,1,0,1,0.6429
18,Force Majeure,What events may excuse delays under force majeure?,"Natural disasters, war, strikes, or government restrictions.","Force Majeure: Neither party shall be responsible for delays caused by natural disasters, war, strikes, or government restrictions.","natural disasters, war, strikes, or government restrictions","Force Majeure: Neither party shall be responsible for delays caused by natural disasters, war, strikes, or government restrictions.",0.6955,10.1355,1,1,0,1,0.5600
19,Governing Law,Which legislation applies to the contract?,The legislation of Kazakhstan.,Governing Law: This Contract shall be interpreted according to the legislation of Kazakhstan.,legislation of Kazakhstan,Governing Law: This Contract shall be interpreted according to the legislation of Kazakhstan.,0.6662,8.1146,1,1,0,1,0.4706
20,Dispute Resolution,Where will disputes be submitted if negotiations fail?,To arbitration in Astana.,"Dispute Resolution: If negotiations fail, the dispute shall be submitted to arbitration in Astana.",arbitration in Astana,"Dispute Resolution: If negotiations fail, the dispute shall be submitted to arbitration in Astana.",0.7515,16.2237,1,1,0,1,0.4444
21,Confidentiality,What information must the Employee protect?,Trade secrets and internal business information.,Confidentiality: The Employee shall protect trade secrets and internal business information during and after employment.,trade secrets and internal business information,Confidentiality: The Employee shall protect trade secrets and internal business information during and after employment.,0.6643,8.0031,0,1,0,1,0.5714
22,Confidentiality,What actions are prohibited with confidential documents?,"Copying, transferring, or publishing without authorization.","Confidentiality: The Employee may not copy, transfer, or publish confidential documents without authorization.","copy, transfer, or publish confidential documents without authorization","Confidentiality: The Employee may not copy, transfer, or publish confidential documents without authorization.",0.6234,5.9318,0,1,0,1,0.5263
23,Termination,How much notice is required during the probation period?,14 days written notice.,Termination: The Employer may terminate employment with 14 days written notice during the probation period.,14 days written notice,Termination: The Employer may terminate employment with 14 days written notice during the probation period.,0.7231,12.6594,0,1,0,1,0.4211
24,Termination,How can the Employee resign?,By providing one month written notice.,Termination: The Employee may resign by providing one month written notice to the Employer.,providing one month written notice,Termination: The Employee may resign by providing one month written notice to the Employer.,0.6235,5.9361,0,1,0,1,0.6000
25,Compensation,What monthly salary will the Employee receive?,"300,000 KZT before taxes.","Compensation: The Employee shall receive a monthly salary of 300,000 KZT before taxes.","monthly salary of 300,000 KZT before taxes","Compensation: The Employee shall receive a monthly salary of 300,000 KZT before taxes.",0.7182,12.1509,1,1,0,1,0.5263
26,Working Hours,What is the normal weekly working schedule?,40 hours per week from Monday to Friday.,Working Hours: The normal working schedule shall be 40 hours per week from Monday to Friday.,40 hours per week from Monday to Friday,Working Hours: The normal working schedule shall be 40 hours per week from Monday to Friday.,0.7053,10.9453,1,1,0,1,0.6667
27,Non-Compete,How long does the non-compete restriction last?,Six months after termination.,"Non-Compete: For six months after termination, the Employee shall not work for a direct competitor in the same city.",For six months after termination,"Non-Compete: For six months after termination, the Employee shall not work for a direct competitor in the same city.",0.5530,3.5106,0,1,0,1,0.3478
28,Intellectual Property,Who owns work products created within employment?,The Employer.,Intellectual Property: All work products created by the Employee within the scope of employment shall belong to the Employer.,shall belong to the Employer,Intellectual Property: All work products created by the Employee within the scope of employment shall belong to the Employer.,0.7340,13.8792,1,1,0,1,0.1905
29,Liability,When is the Employee responsible for damages?,When damages are caused by intentional misconduct or gross negligence.,Liability: The Employee is responsible for damages caused by intentional misconduct or gross negligence.,intentional misconduct or gross negligence,Liability: The Employee is responsible for damages caused by intentional misconduct or gross negligence.,0.6713,8.4283,0,1,0,1,0.6667
30,Governing Law,Which laws govern the employment agreement?,The labor laws of Kazakhstan.,Governing Law: This Employment Agreement is governed by the labor laws of Kazakhstan.,labor laws of Kazakhstan,Governing Law: This Employment Agreement is governed by the labor laws of Kazakhstan.,0.7268,13.0526,1,1,0,1,0.5556
31,Data Protection,How may the Processor process personal data?,Only according to documented instructions from the Controller.,Data Protection: The Processor shall process personal data only according to documented instructions from the Controller.,only according to documented instructions from the Controller,Data Protection: The Processor shall process personal data only according to documented instructions from the Controller.,0.6966,10.2265,1,1,0,1,0.6667
32,Data Protection,What security measures must the Processor implement?,Appropriate technical and organizational security measures.,Data Protection: The Processor shall implement appropriate technical and organizational security measures.,appropriate technical and organizational security measures,Data Protection: The Processor shall implement appropriate technical and organizational security measures.,0.7344,13.9294,1,1,0,1,0.6667
33,Data Protection,Can personal data be transferred outside Kazakhstan without permission?,"No, written permission from the Controller is required.",Only with required consent or approval. Data Protection: Personal data shall not be transferred outside Kazakhstan without the Controller's written permission.,shall not be transferred outside Kazakhstan without the Controller's written permission,Data Protection: Personal data shall not be transferred outside Kazakhstan without the Controller's written permission.,0.7728,19.9519,0,1,0,1,0.2759
34,Breach Notification,When must the Processor notify the Controller about a data breach?,Within 24 hours after discovering the breach.,Breach Notification: The Processor shall notify the Controller within 24 hours after discovering a personal data breach.,within 24 hours after discovering a personal data breach,Breach Notification: The Processor shall notify the Controller within 24 hours after discovering a personal data breach.,0.7343,13.9107,0,1,0,1,0.5833
35,Retention,What happens to personal data after termination of services?,It must be deleted or returned within 10 business days.,Retention: Personal data shall be deleted or returned within 10 business days after termination of services.,deleted or returned within 10 business days after termination of services,Retention: Personal data shall be deleted or returned within 10 business days after termination of services.,0.6866,9.4627,0,1,0,1,0.6154
36,Audit,How often may the Controller audit compliance?,Once per calendar year.,Audit: The Controller may audit the Processor's compliance once per calendar year.,once per calendar year,Audit: The Controller may audit the Processor's compliance once per calendar year.,0.7195,12.2871,1,1,0,1,0.5000
37,Subprocessors,Can the Processor engage subprocessors without authorization?,"No, prior written authorization is required.",Yes. Subprocessors: The Processor may engage subprocessors only with prior written authorization from the Controller.,only with prior written authorization from the Controller,Subprocessors: The Processor may engage subprocessors only with prior written authorization from the Controller.,0.7407,14.7091,0,1,0,1,0.2857
38,Liability,What is the Processor liable for?,Unauthorized processing caused by its employees or subprocessors.,Liability: The Processor shall be liable for unauthorized processing caused by its employees or subprocessors.,unauthorized processing caused by its employees or subprocessors,Liability: The Processor shall be liable for unauthorized processing caused by its employees or subprocessors.,0.6244,5.9752,1,1,0,1,0.6957
39,Confidentiality,Who must be bound by confidentiality obligations?,All personnel with access to personal data.,Confidentiality: All personnel with access to personal data must be bound by confidentiality obligations.,All personnel with access to personal data,Confidentiality: All personnel with access to personal data must be bound by confidentiality obligations.,0.7230,12.6443,0,1,0,1,0.6667
40,Governing Law,Which law governs the Data Processing Agreement?,The laws of Kazakhstan.,Governing Law: This Data Processing Agreement shall be governed by the laws of Kazakhstan.,laws of Kazakhstan,Governing Law: This Data Processing Agreement shall be governed by the laws of Kazakhstan.,0.7466,15.5171,1,1,0,1,0.4444
41,No-Answer,Does the agreement require source code escrow?,Not found in the provided document.,Not found in the provided document.,,,0.0000,2.2828,0,0,1,1,1.0000
42,No-Answer,Does the contract require cyber insurance coverage?,Not found in the provided document.,Not found in the provided document.,,,0.0000,3.7509,0,0,1,1,1.0000
43,No-Answer,Is there an exclusivity restriction between the parties?,Not found in the provided document.,Not found in the provided document.,,,0.0000,5.4530,0,0,1,1,1.0000
44,No-Answer,Who is responsible for withholding employee taxes?,Not found in the provided document.,Not found in the provided document.,,,0.0000,5.6843,0,0,1,1,1.0000
45,No-Answer,Are background checks required before work begins?,Not found in the provided document.,Not found in the provided document.,,,0.0000,3.6384,0,0,1,1,1.0000
46,Service Levels,What monthly uptime must the Vendor maintain?,99.5 percent monthly uptime.,"Service Levels: The Vendor shall maintain 99.5 percent monthly uptime for the hosted platform, excluding scheduled maintenance windows.",99.5 percent monthly uptime,"Service Levels: The Vendor shall maintain 99.5 percent monthly uptime for the hosted platform, excluding scheduled maintenance windows.",0.7065,11.0572,0,1,0,1,0.3636
47,Service Levels,How much advance notice is required for scheduled maintenance?,At least 48 hours in advance.,Service Levels: Scheduled maintenance must be announced at least 48 hours in advance and must not exceed four hours per month.,at least 48 hours in advance,Service Levels: Scheduled maintenance must be announced at least 48 hours in advance and must not exceed four hours per month.,0.6594,7.7132,0,1,0,1,0.4444
48,Support,How quickly must the Vendor respond to critical support tickets?,Within two business hours after receipt.,Support: The Vendor shall respond to critical support tickets within two business hours after receipt.,within two business hours after receipt,Support: The Vendor shall respond to critical support tickets within two business hours after receipt.,0.7628,18.0478,1,1,0,1,0.5714
49,Data Backup,How often must backups be performed?,Daily.,Data Backup: The Vendor shall perform daily encrypted backups and retain each backup for 30 calendar days.,daily encrypted backups,Data Backup: The Vendor shall perform daily encrypted backups and retain each backup for 30 calendar days.,0.6758,8.7190,0,1,0,1,0.1111
50,Data Backup,How long must each backup be retained?,30 calendar days.,Data Backup: The Vendor shall perform daily encrypted backups and retain each backup for 30 calendar days.,retain each backup for 30 calendar days,Data Backup: The Vendor shall perform daily encrypted backups and retain each backup for 30 calendar days.,0.7144,11.7849,1,1,0,1,0.3000
51,Termination Assistance,What assistance must the Vendor provide after termination?,Reasonable transition assistance for up to 20 business days.,"Termination Assistance: Upon termination, the Vendor shall provide reasonable transition assistance for up to 20 business days.",reasonable transition assistance for up to 20 business days,"Termination Assistance: Upon termination, the Vendor shall provide reasonable transition assistance for up to 20 business days.",0.7271,13.0900,1,1,0,1,0.6923
52,No-Answer,Does the Vendor promise unlimited storage capacity?,Not found in the provided document.,Not found in the provided document.,,,0.0000,2.4503,0,0,1,1,1.0000
53,No-Answer,Is the Vendor required to provide on-site hardware repair?,Not found in the provided document.,Not found in the provided document.,,,0.0000,5.7366,0,0,1,1,1.0000
54,Lease Term,When does the lease term begin?,1 January 2026.,Lease Term: The lease term shall begin on 1 January 2026 and continue for twelve months unless renewed in writing.,begin on 1 January 2026,Lease Term: The lease term shall begin on 1 January 2026 and continue for twelve months unless renewed in writing.,0.7249,12.8462,0,1,0,1,0.2609
55,Lease Term,How long does the lease continue unless renewed?,Twelve months.,Lease Term: The lease term shall begin on 1 January 2026 and continue for twelve months unless renewed in writing.,continue for twelve months,Lease Term: The lease term shall begin on 1 January 2026 and continue for twelve months unless renewed in writing.,0.7395,14.5631,0,1,0,1,0.1818
56,Rent,What monthly rent must the Tenant pay?,"750,000 KZT.","Rent: The Tenant shall pay monthly rent of 750,000 KZT no later than the third business day of each month.","monthly rent of 750,000 KZT","Rent: The Tenant shall pay monthly rent of 750,000 KZT no later than the third business day of each month.",0.6951,10.1021,0,1,0,1,0.2500
57,Security Deposit,How large is the security deposit?,Two months of rent.,Security Deposit: The Tenant shall pay a refundable security deposit equal to two months of rent before taking possession.,equal to two months of rent,Security Deposit: The Tenant shall pay a refundable security deposit equal to two months of rent before taking possession.,0.6788,8.9169,0,1,0,1,0.3478
58,Repairs,Who is responsible for structural repairs?,The Landlord.,"Repairs: The Landlord is responsible for structural repairs, while the Tenant is responsible for minor interior maintenance.",The Landlord is responsible for structural repairs,"Repairs: The Landlord is responsible for structural repairs, while the Tenant is responsible for minor interior maintenance.",0.7251,12.8647,0,1,0,1,0.2105
59,Use Restrictions,What activities are prohibited in the leased premises?,Manufacturing activities.,Use Restrictions: The Tenant shall use the premises only for office purposes and shall not conduct manufacturing activities.,shall not conduct manufacturing activities,Use Restrictions: The Tenant shall use the premises only for office purposes and shall not conduct manufacturing activities.,0.6466,7.0212,1,1,0,1,0.2000
60,No-Answer,Does the lease include a parking-space allocation?,Not found in the provided document.,Not found in the provided document.,,,0.0000,4.7951,0,0,1,1,1.0000
61,No-Answer,Is the Tenant allowed to sublease the premises?,Not found in the provided document.,Not found in the provided document.,,,0.0000,5.9609,0,0,1,1,1.0000
62,Scope of Work,What deliverables must the Consultant prepare?,A market entry report and a presentation to the Client's management team.,Scope of Work: The Consultant shall prepare a market entry report and deliver a presentation to the Client's management team.,market entry report and deliver a presentation to the Client's management team,Scope of Work: The Consultant shall prepare a market entry report and deliver a presentation to the Client's management team.,0.6466,7.0212,0,1,0,1,0.7500
63,Milestones,When is the draft report due?,Within 25 business days after the project kickoff meeting.,Milestones: The draft report is due within 25 business days after the project kickoff meeting.,within 25 business days after the project kickoff meeting,Milestones: The draft report is due within 25 business days after the project kickoff meeting.,0.6900,9.7141,1,1,0,1,0.7500
64,Fees,What consulting fee must the Client pay?,"A fixed consulting fee of 2,000,000 KZT.","Fees: The Client shall pay a fixed consulting fee of 2,000,000 KZT in two equal installments.","fixed consulting fee of 2,000,000 KZT","Fees: The Client shall pay a fixed consulting fee of 2,000,000 KZT in two equal installments.",0.7156,11.8930,0,1,0,1,0.6667
65,Expenses,Which expenses may be reimbursed?,Pre-approved travel expenses.,Expenses: Pre-approved travel expenses shall be reimbursed at actual cost within 10 business days after receipt submission.,Pre-approved travel expenses,Expenses: Pre-approved travel expenses shall be reimbursed at actual cost within 10 business days after receipt submission.,0.6651,8.0511,0,1,0,1,0.3000
66,Intellectual Property,When does the final report become the Client's property?,After full payment of all undisputed fees.,Intellectual Property: The final report shall become the Client's property after full payment of all undisputed fees.,after full payment of all undisputed fees,Intellectual Property: The final report shall become the Client's property after full payment of all undisputed fees.,0.7533,16.4874,1,1,0,1,0.5833
67,Non-Solicitation,How long does the non-solicitation restriction last after the project?,Six months afterward.,"Non-Solicitation: During the project and for six months afterward, neither party shall solicit the other party's employees.",for six months afterward,"Non-Solicitation: During the project and for six months afterward, neither party shall solicit the other party's employees.",0.6366,6.5282,0,1,0,1,0.3000
68,No-Answer,Does the Consultant guarantee a specific increase in revenue?,Not found in the provided document.,Not found in the provided document.,,,0.0000,3.5106,0,0,1,1,1.0000
69,No-Answer,Is the Client required to provide office equipment to the Consultant?,Not found in the provided document.,Not found in the provided document.,,,0.0000,3.5106,0,0,1,1,1.0000
70,No-Answer,Does any contract require biometric data processing consent?,Not found in the provided document.,Not found in the provided document.,,,0.0000,5.5975,0,0,1,1,1.0000
71,No-Answer,Does any contract set a penalty for missed support response times?,Not found in the provided document.,Not found in the provided document.,,,0.0000,5.0657,0,0,1,1,1.0000
72,No-Answer,Does the lease require the Tenant to buy property insurance?,Not found in the provided document.,Not found in the provided document.,,,0.0000,4.7951,0,0,1,1,1.0000
73,No-Answer,Does the consulting agreement include a warranty against third-party claims?,Not found in the provided document.,Not found in the provided document.,,,0.0000,3.3785,0,0,1,1,1.0000
74,No-Answer,Is arbitration required for the software services agreement?,Not found in the provided document.,Not found in the provided document.,,,0.0000,4.1614,0,0,1,1,1.0000
75,No-Answer,Does any agreement require a confidentiality period of ten years?,Not found in the provided document.,Not found in the provided document.,,,0.0000,7.9069,0,0,1,1,1.0000
